name,image,class,subclass,description,ingredients,hp,effect
Prime Meat and Rice Bowl,40px-BotW_Prime_Meat_and_Rice_Bowl_Icon.png?version=adb56d91a7aa8465f335e1f274f740ad (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/FwuGHSWBVBw3pXYBMbVQRw/272_uGoBmOVnTVTIPLXFc-qKhq4u9tHZHX7EmI1_FpOCcf8bPkG7iHVUkVLIswIYQfG_-34T714Tj55L0qOkSJeB4pZ1jkh13Y4_mEZIJ1IWTSnNzzesXdg2x_oT5dkQ6K7H4nucLRXoIyRRpNooHU1Gymng0TL-m2u4VgT-zPYfc2McGHHXy1eXcfWjo1Wk/HO2LiTHyu8soPH9SUUCumegt7BYBzULmJ_OV_RY4uD4),Food,Cooked,This bowl is loaded with high-quality meat. Your hunt for a serious meal ends here.,"Raw Prime Meat,Hylian Rice,Rock Salt",,
Prime Meat and Seafood Fry,40px-BotW_Prime_Meat_and_Seafood_Fry_Icon.png?version=95d115a694e383c69a6a1d6822f15d05 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/sU9YCRTck6RcmtZQ4icAFA/FVLmpUvmfi9itSpcXWOLtwzNJfoUV7uKY241n-yWJWDeb7aCv79esXz4vYHethX6g5i8SP-r5E5k2pU-bGAYyhld84SgEnf8Kjv5C1nyTxHd2NBlbO_XbR1XSudc08AxXCA492Mr_opssYz5mfZAEH4u2fMhE47hrpNwDrz6eJut5FK7FUlMeoBRdF5poGHm/xcIBtD_qlVXnwqMpYTK-lrovdHiQd8bMOk94pComJiU),Food,Cooked,This comfort dish is made with choice cuts of meat and seafood.,"Any Seafood,Raw Prime Meat",,
Prime Meat Curry,40px-BotW_Prime_Meat_Curry_Icon.png?version=79f5cb559c25b2eba6d3272211f86364 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/35yz7-KUU_sHjbim7ljTsw/XPgAjxqse-IUpyAcYGi-FbL6z7mbEK1RFm7MzvdG03BE5bSj3UjPSbwSM9nenBJM6eukLlqnQj8X3TYG3M8zvU7nHdkjBROmnFxwm47JIOsgSg8aAaC4wemBr7xYtVHiNfiOGYF_OEyWxBXbjNdiXzrHECVs6sWwS0RHEYfowsdn1n7fOrPuHfwZdnuX7_BQ/6K25ef9enRDnDBHU6wpk45BDtDpAMUKMpLmDgXqntXA),Food,Cooked,The high-quality meat in this curry has given it a deeper taste than most other curries.,"Raw Prime Meat,Hylian Rice,Goron Spice",,
Prime Meat Stew,40px-BotW_Prime_Meat_Stew_Icon.png?version=904f490d31c46c7ed1b1bcfa97fa534f (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/KHCrG7RK0_ZZtoa7LqNQsA/hmYGNo4BF-08vzC8VOo7oENfy1SRdjbXR_FQ8yOFcmVeQqwnmF-DCk6BFm4eDB5Jets-ZfuqX2CK1ndShHsvKm2An9rt4nYX7fPZLOtr7tkkv28udEvmURePpbK58D7HCwcL0p3dSy68b88UCa8E1xabGpQcZLC-scuPJliugIi5WeOPzHYh3FwpWaMggWuE/6RYL6vW_mkOW3Ah64c_E6kKPjKDOUqLA26rp4IQUvkw),Food,Cooked,Letting the large portions of choice cuts of meat simmer brought out their savoriness.,"Tabantha Wheat,Goat Butter,Fresh Milk,Raw Prime Meat",,
Prime Poultry Curry,40px-BotW_Prime_Poultry_Curry_Icon.png?version=55066771089e808bcf9f543668d9944a (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/UG33nV76Sk-_3Uvo_9g15A/hA2LhCocRmuwNuWu8CpEOGG5CBVi0GCAu3u38qLZlnOj9rR94rK2ZZNS5840uCudd6UjAsErgF6j-jPEl8dw1CcaGEZFdegPGisf-6AO2XCyqHNdvVyjqdU0jvM9feFBvsi7MrMyxsLexlaV0gTisDd5qjDFkyr0u3xqikF6nZX2-zw6Fs1sBbDG7mSonheq/bfHtGONFEwEYYvKij6OmAU85uvD9qW7dreshO2_f9Fo),Food,Cooked,The secret to this curry's flavor is taking it off the heat while you add the spices.,"Raw Bird Thigh,Goron Spice,Hylian Rice",,
Prime Poultry Pilaf,40px-BotW_Prime_Poultry_Pilaf_Icon.png?version=36cc3bb556038905f0f77b4b2fbfe1fc (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Il6UYCQViPzX0VHMUcdNoA/FYmWQxdN_hiYIRUhhRDrYdRC3FIIkstyRhpAb3lT8BKiwG72yMUA1g3N0LuB3L35uM9VW_vClMnnfiIh62xFOiENAnVwWnoucWbMiBT7Km22NJGAcBraPx8x6m768jIgQRbkJnj4lONEfno3JjIG4Kq0kWiduuKslGOB4poT2ppykVDRGOXUuIcgLPbsm1MZ/Hf39Sbr3aWg1cWjZ7Z0-BLTYFDtC5QzGk7wYFZV6iBk),Food,Cooked,The rice permeates the savory taste of the poultry in this Gerudo-region favorite.,"Raw Bird Thigh,Hylian Rice,Bird Egg,Goat Butter",,
Prime Spiced Meat Skewer,40px-BotW_Prime_Spiced_Meat_Skewer_Icon.png?version=4b81f070fa3e7cb46ae2b5ed7ead8b15 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/-JxKDeWGTeRcGmUScv4RQw/7_YXextFBnRqlzucr3nrrHzIhyGWs0MAw2JG4150vUAawov0HPwIC7I9wMHNlvExMfZTG-HeJpdLs4gm8wty8FJjtxLp010AJt5idM1iUjczV2roX2tvMsdD3fomCIGWOi3dW3B21V3uRt5Dwbbo6SzAams6vJoFpZkU-ld5tgzvRxN0nDQWr18LDSi2BsRd/2420WNM0-D0jj2S1xlG87ZoWJ93k39xACjJx9FcyH8U),Food,Cooked,The simple preparation of this steak dish belies its complex taste profile.,"Raw Prime Meat,Goron Spice",,
Pumpkin Pie,40px-BotW_Pumpkin_Pie_Icon.png?version=aeb299d7e3ae729563b56a13f72dec0d (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/tucdqAFAgD9q0y55sNOitQ/SL7j8jYjlmaXreuALS3THFlH5I-FgfdEwu7SIZfE0whOtrOhxUJoEVEwrFpAYh0fsSpFNlice-n_CDfPvF9vj-z-DXBXAKJrG9VF7VJRli15o0j9pajok3zZkaWwkDWeM5lUHLVV0zuTnAdZPE_XuGxHK-WiZQeorH0HKqZlTr4OplpJJFH3u_d11b9K3ZAF/n2TpYtlefzMMLEuLUhh0p-E8e71PHFBRiru82Y99NZY),Food,Cooked,The intense sweetness of fortified pumpkins makes this dessert popular among children.,"Fortified Pumpkin,Tabantha Wheat,Cane Sugar,Goat Butter",,
Pumpkin Stew,40px-BotW_Pumpkin_Stew_Icon.png?version=22fe56b2acb457d36963dff8f700f679 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/PwXgNULX12b2lO-CWAMsVA/AQyH3v83CDp3qWR3Q5xdjtAAz36nYivoMhBknI3JQW0i7COlB5VqzIu1jjFubwfnTpKX3-31s-4-sIxUdATuTIvHR4kLMkz2xaYpsOZ8PrNRK_K4VKoUex8a38UP_S4oNLm_7TbhbF6klRzttnIkeAWTK0CyIsEkL5ilOt-Il_RryD72w1GyjDDkySlSiszU/8yqj_fV09k3awELJYV8BsTjjsVRjJJZW1lj8coY9iXI),Food,Cooked,Simply simmer a fortified pumpkin to make this dish. A favorite in Kakariko Village.,"Fortified Pumpkin,Tabantha Wheat,Goat Butter,Fresh Milk",,
Rock-Hard Food,50px-BotW_Rock-Hard_Food_Icon.png?version=3d6eeff4153008dbc079f0eddc32b2a4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/m5przJgMUaMTqu_Z3cK-aA/0SNRr2kzdyHUrLT2EQaeBbPSKhZVVlU2St7dyOIdGSQfNCJokOAR8ScLpwQ2qm_nzXXb_rx5b0q2DenLz16AXoZPcGshabJBG5Zopy5ziriJ1cujS_qqoxqzU5vGolMfJGspKEyt_ij8mBZXhEIWxtG_3bBgDfD77bPNAtNVqsJoZ9wbhjMnYFBqegTEj2R_/nHilOC1epNsARA2XQZsgnWFhZCL7ZedC82LPjcDQLHs),Food,Cooked,"A dish gone awry after adding the wrong ingredient. Chewing your way through this won't be fun, but it will fill you up when you're between a rock and a hard place.",Wood or ore,,
Salmon Risotto,40px-BotW_Salmon_Risotto_Icon.png?version=f827a3575df0d7fe304010d013702991 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/bfsEbm1Ii3GDH-3rFygNtg/CY4KUZIawdxKy1pO03Je_0K6UNmyv3XP9Y4cDCT1U_2pVM9KJmHm_W6q-Rosxvlrggry1XPEWNAZ-qyjhWZpB_zn5--QldIkWn-uF89O_wKCy0k4NjGN5Onn0NaZCU9unOqO5Zj5UsyTdnss8tVY_VHPxgvZkbQ8oELg2Kb5761k5elxxQUzt4HbqzTy6lA1/WOhHbTb5Fq4594Ek8P3rt_OHvZq9TWOF61PBe071y7I),Food,Cooked,The rice used in this rich risotto permeates the light flavor of the salmon.,"Hearty Salmon,Hylian Rice,Goat Butter,Rock Salt",,
Salt-Grilled Crab,40px-BotW_Salt-Grilled_Crab_Icon.png?version=cf0313d426bff3ef9f7356e5231a116d (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/2Kx7dh5n7A3wuvce0MlpRQ/kHa1rMD5U1GKrhjq5BiQkb6IAGHz6nt8GP9HfUtgYjnk7YySRP6RV5m1mXMjpx1Q2h7W2Hlk-U3IFbT-6nRJ4SiUznaJecydREuI1onw7MIobMY2orlQbCQjCv2BWj-cF_oYEkYsSgu42xJpg9aF0d7orZJ3LeyLjjMHuUmLCiU_MPiU3SdqwCCTmVNlFXa_/3wAnVA1jhYkyS-Fyx8jzVZ7A6FDSNde79JdPb9Y6dp4),Food,Cooked,Nine out of ten fishermen agree: crab is best enjoyed grilled and with just a bit of salt.,"Rock Salt,Ironshell Crab,Razorclaw Crab,Bright-Eyed Crab",,
Salt-Grilled Fish,50px-BotW_Salt_Grilled_Fish_Icon.png?version=20fa2d65880a0fc073efe1888573133b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/y8vX6fUuFkUa2OFmAJazWg/2lMYFV-Il6ITttvfpG3owMXOkxwQr0pl3MqJyUAnq7YW_m92G3_iEqEkYMKxPeyr-8GKzHz3qCzAwSnHzlehu7UgQ_rSbHl-KT0qL71AJaMvgSC2GGjtxqZwKOZyPXO2b21SIHm0rWtbiElmOtXNZs89MmfeWG__d7Lk2A064BeMszQt9Tt5Xvy1mF7aukZ8/YyyGupZxCoUmcRG5M8hsHyuQSQs8_W0fZ48S0AjwiwM),Food,Cooked,A simple dish made by rolling a whole fish in natural rock salt before grilling it.,"Rock Salt,Sneaky River Snail,Hearty Blueshell Snail,Hearty Bass,Hyrule Bass,Staminoka Bass,Sanke Carp,Mighty Carp,Armored Carp,Hearty Salmon,Mighty Porgy,Armored Porgy,Voltfin Trout,Chillfin Trout,Sizzlefin Trout,Stealthfin Trout",,
Salt-Grilled Gourmet Meat,40px-BotW_Salt-Grilled_Gourmet_Meat_Icon.png?version=23601506cacc6c09a3570dc91662268c (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Jz67acEpcHrENAbedh7QLw/-zoAdJvQ9wgQO-IDcST8kWqU1GWX5P3vgU0zJKgETUPQGwzWDIrjsrQWKKTYN_blgcSZXDu9GFmfuObRiEFoqiE6tK8J3DOwHXgzvK_8Gxyhc5-USkGhXuuFSUPyJGRSf7CrIvqtAn0B1r2bY3bRjPE77PcH8HBm8Io_FUTlOYtfa3B0oRSebIfcI16vR0Be/QYwNxV4s_IUydp3PdDnZcY012wWocEovn54iT4FKAK8),Food,Cooked,This lavish grilled dish makes liberal use of high-quality cuts of meat.,"Rock Salt,Raw Gourmet Meat",,
Salt-Grilled Greens,40px-BotW_Salt-Grilled_Greens_Icon.png?version=a6dd17133b133063f5b1ef06d118903b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/w5gPkTdbS5zSGXdiqtjwnQ/dKMXsKlsn3xAAAGH71sakFLdi2L41zKoxProUoATk6YhipsqW-VYUvk-3f2k4BjKuDPPYaukcwFRhIPASjLak5FbLsWYFgCa_1KoXFSexaKIgNfbH5E2L4-qnfwyv0zbvxRbhD-ir_cPn-RXy8UJfmgUit1BM4-i0cKUlpPN1WXpLtqYeZORHMEexBJVZB1A/lGC95_7_CuThpwcLOtZIeZhHFcCejWz41DO6Np_KFBs),Food,Cooked,A health-boosting dish made with leafy greens and a touch of salt.,"Rock Salt,Any Vegetable,Any Flower or Herb",,
Salt-Grilled Meat,40px-BotW_Salt-Grilled_Meat_Icon.png?version=af02db6921eb35f1036be3511a7f5ce9 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/65-qcoamiHyiiEf5zxygdg/89vg7eEl5UYbobKjcSDD9h2tMUyxrKb9K-9-LCj7AkXMzR04uyOAsMORYGRjSVLc7M0oQtYoKRHhmfTPpmlW1Lo6yiC_5sjfeVvREAYRWHMJ6LRO3BXq9MamPfHcCx4Vh9npVNH1xx_N0M1LO6EZbNw9gQFdTHssNOV2zE1YSk3rpQlvYNvQxQB-8u1aNgWU/ucMxl6yKDfImjnIT2KqL5ExCg7DWlm2AE6qzTRiKSY4),Food,Cooked,"Short on ingredients? Just rub some meat in salt and cook it for a simple, tasty dish.","Rock Salt,Raw Meat,Raw Bird Drumstick",,
Salt-Grilled Mushrooms,40px-BotW_Salt-Grilled_Mushrooms_Icon.png?version=0b3240a39355d103ec773a1a6840106b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ci0GdcyEPvr5zKuEcpQYPA/XFEShwFPXEJlve2rZhUC_LI-74c82jyBx-eDnN4TqKCNVK_rRks0WtjfOBsygsnYXYYNto9kRI3zUo34ZINKX3jGLtHOEgwlJZPAv9qqvWcr6Kn2h_hF-yF_c-4XWEoPGc7jve48HZ4r_wHJdxo9iU2vTe6IF_MMVninumDknnrBM3yAtlCzISqidvbilj3l/Y_XNgMJinpUqJC4B7v8PQIF6aa1-dSLbdLrXcbozN2M),Food,Cooked,A basic mushroom dish made by lightly salting mushrooms and grilling them.,"Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Rock Salt",,
Salt-Grilled Prime Meat,40px-BotW_Salt-Grilled_Prime_Meat_Icon.png?version=afb157bcd69a4192b1985be3f034475f (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/c8_ayEzb2NpMCh1j67LYrw/9O3ucDLDAyofCzrJZU-aXrNWDXbtjJJX_OUfglPHJOA7_54NkFihp-33fbWeIfZAqOZuI1XG8zcYHLPmfGn8Zsv4kRXTKFjqUbw3CjQrL9RNrFBiWj3S1myqXHEcQpA8wwATjcF6dXdxO5mIQanzlUZs7J6GuGTRJFXLlTQq8ch8C0Ouk1HebylfiXHgQCO_/vyaf7l72BAikWPoaKkoa6DOxfTGIfDMGOpOAWI8NkH8),Food,Cooked,A simple yet exquisite dish made by grilling high-quality meat on top of rock salt.,"Rock Salt,Raw Prime Meat",,
Sautéed Nuts,40px-BotW_Saut%C3%A9ed_Nuts_Icon.png?version=687dd4821a14f7dcec867abfe8447eb2 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/LuVK_KrlwEBPaRw2nX0uOQ/GjdXGKuMOZM0BiY9eNNyGrhbC3L0fognL6N_e3pwBfSzG86rWh56PqOrc-H4bCVnTZ1IZWec8AzvfMtStm-aIyW0Bguerx7NpsOaONXYVdbWGUpcEY3K1pDIoL58jf_Fh5NdIX35FzePI8z_FJ3CaXoPTO3d8rbELA2KuNwkSZF30CqRuvJNgXQsHcngwGRm/a1vqwfM82S6bcztXEpnShZx-jVBZKOJ5AOIZoWM9cgo),Food,Cooked,These sautéed tree seeds are the perfect snack for the busy adventurer on the go!,"Acorn,Chickaloo Tree Nut",,
Seafood Curry,40px-BotW_Seafood_Curry_Icon.png?version=e34da8cd2432fcb1eab134084764e51e (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/wknKbKel_YDxkheVv4S0tA/4HEuKOLhjHR9YU93sESKn_brE9AM8jUW9gjJ8oOwFE4aHBxlSZFhXdDB5gY9bDhih-wyBVD8mRtCO-gh_iIN6yi1iEZBcPVLjnP_ZBt6_vBOIGiChCxygFS6Cq_LQEACjp-m-Ge5DqyHomhOsmvc8TuZeXGBHBLPPvRIQUdEyRfInLoOkP6Hjo-EbX-IE8SB/rcrRhI962-SCMRQIBft_SC3XbaUH3EoKhQ12ehyQYDs),Food,Cooked,"This dish brims with treasures from the sea. Its spice packs a kick, so it's not for kids.","Goron Spice,Hylian Rice,Hearty Blueshell Snail,Mighty Porgy,Armored Porgy",,
Seafood Fried Rice,40px-BotW_Seafood_Fried_Rice_Icon.png?version=e83bd5bba2b3ba7a5628b7c21d8d39aa (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/KAS9YC-4u_Vg8Dv09bqoEg/aBwtZeQouUjz2y2fTgNwZxvOQR6Ob8Wi927vITXv1HBS0Gy25GS1v43AgxY6pd0v7ohBMOwc3SawSVXViAZ41UAvZFxVq2wi9oe7Rv3QuVvO5lnnFHndVBrl17lHtIWrJtvG8vQHUvYRkb6Vguwlu34VADTJBIxqdBKp1B8_t6hB0CRuCe9zZxQVe3eOFhVT/GWLQrI0JAVIRmiYNYZCwK_bt4-VhkhlJ4jU7xvh0hZM),Food,Cooked,"Various seafood has been sautéed with rice. The stronger the flame, the tastier the dish!","Hylian Rice,Rock Salt,Hearty Blueshell Snail,Mighty Porgy,Armored Porgy",,
Seafood Meunière,40px-BotW_Seafood_Meuni%C3%A8re_Icon.png?version=9ed7a5352ce6323583b0d54a6dcd9d8e (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/g8_faLA4b7ZcpYcA4qhH8Q/QZioGX4-u7OTbdRA94xy61Um36m_FFG4Ksc6O0UpqT-0CzsHgGrk3aFMPMzcOI_sTLazhLN51Rh9I3Dmpj6kqYmAvIQS32b9PZHJHa8U9WuuC0xPAaruRy0krTSRVVfPGOkHJIQaxuJl00dPrA7u-ppJIBTkcNotY5Yb2snp9CUt5ltTIu0aqv6cK-_FHdPG/Uo9g808HGp_gcPRI3fFKP7eGhYCu3VusKcOrBXuYSjk),Food,Cooked,Rich butter flanks fresh seafood. The secret ingredient is lots and lots of love.,"Any Seafood (except Porgy or Salmon),Tabantha Wheat,Goat Butter",,
Seafood Paella,40px-BotW_Seafood_Paella_Icon.png?version=927fb02a1dc0827b405c6843e42e359f (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/aPsjpzvNUY6P8aKPkUqZfQ/lEy04f078YcLZwiOXhve8_CMtO0OEge6MQJO0qyNcNmH0xlO2UiFOOQb855j_KBW4Dl_jFBnVxnwGbUHihSE8sOx66MUvmwGRjeMnZ2iXH2n4Ae2_M1xquQNq80SaVQiB80TQh8JQcF-XXvWfQ0QvTN93i2p1IoMf-IVGtUIPNYD0-od8cbypQ9bZquy3sgE/Cll9LmgMKKRsdvKfLmIVt5uSy_ElfnubITzRLki7Qwo),Food,Cooked,No fisherman's birthday bash would be complete without this top-shelf seafood dish.,"Hearty Blueshell Snail,Hylian Rice,Mighty Porgy,Armored Porgy",,
Seafood Rice Balls,40px-BotW_Seafood_Rice_Balls_Icon.png?version=48e5d4ee9a15d1091b76cb10ce02884f (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/b1nf0cMu-KpXYg9CJwWafQ/09zFgTnAr6kXDhCO1sVNG5r7DmP0dBzjk_Rdvjj_xKfy6GqcJ5kWJ_NVw29UgWHZ37pc4e-eyrKvaJX6auYzm1W-XbTB19QzcoyK9wVW_iGQqAA-WTHCjLvSMzHekvZgcpVQW7OZ12lnMw7160_oFvrlEtFdwatn4Ozsf5ojXPZdCImvQ-sZAZo4e4gsWtQZ/GLlC6NtzOeYOTOqHi7evmDnW_2G_zttl7PC-Ge_w8kw),Food,Cooked,"Stuffed with aromatic seafood, the flavor can vary by ingredients but never disappoints.","Hylian Rice,Any Seafood",,
Seafood Skewer,40px-BotW_Seafood_Skewer_Icon.png?version=6be9bf4402b032bf3c58ea627fb24738 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/q_rnC84Qi6VcSNuZhdR-Mg/03-cOOYEyxkTUZMq2PYaUjYs4aDrVvo9YuN4Dx9ARuOL9D61rMg1UmTp3tQYqzB5L_GlvpuYDburSQIVLrWO_MKRgJaKszYrm7Chi41DdKOg5IAYSWzu_GBPl1w0rRRI6hHNJYPqTsc-0HrcAONOV0fFetWjx_NIQsArvSnNjDcCkKvdHuzTEVdjczS2xTVZ/r9KOBz5XqBeS2OCEMXiYwb7iWHtfLIJP6UJ4LfQBpik),Food,Cooked,The natural water in this medley of seafaring creatures makes for a delicious broth.,"Ironshell Crab,Razorclaw Crab,Bright-Eyed Crab,Sneaky River Snail,Hearty Blueshell Snail",,
Simmered Fruit,50px-BotW_Simmered_Fruit_Icon.png?version=118946dab960e20a35ac4efb26f0c1cb (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/fU-To1azNzhqRCQHo0aNMg/9dfWCjpb4GDoM1AVcQ2E9u7W6SObDtpp6NNBgZJwk3Po9iceGwg1Li6ynsnJ8kbOpYn5ikAiOE7KYJTBPphFQSRyeHg9B5xPDd8QjX0T4U4gNMUm2G89G1SpRq5iqQ2mooadIEIBzFG-02pdJN-ZMlafNchIbyPHifyqjHiFSVKcwTd7BD_AcVh-50k6DQi_/QeC8LRkdivjOOhV9rTO8qNGB1en9Cu_wNg7Fsq1jGXs),Food,Cooked,This sweet dish is made by heaping tasty fruits into a pan and simmering until tender.,"Apple,Fleet-Lotus Seeds,Hearty Durian,Hydromelon,Mighty Bananas,Palm Fruit,Spicy Pepper,Voltfruit,Wildberry",,
Copious Simmered Fruit,40px-BotW_Copious_Simmered_Fruit_Icon.png?version=073a996f75528c2028afd166be894084 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/NXHael1lsWjGrZm0eO8_2Q/3nuthOOzQfZhBJw2SxopZw0cZNn6i6NVy4imPHjNVE0tGV1Mkdpqd49ugijVIKkDWquDzdmkK1j3g9v7_glYzi0AnEEgVCb0QDT6KD7h7k-VoCr-3zVSTUfV7WCQdEOxS9oQP_Ohau2i58qmbrdeFY_ueoWYjBVOKnn2bGvUPhxUWS8Dr913OpisIwygMN-a/4l0wkrUk_FygI7zl_nd91AkuR0ulwXH0ammDEj-5Rrw),Food,Cooked,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple,Fleet-Lotus Seeds,Hearty Durian,Hydromelon,Mighty Bananas,Palm Fruit,Spicy Pepper,Voltfruit,Wildberry",,
Spiced Meat Skewer,40px-BotW_Spiced_Meat_Skewer_Icon.png?version=85c34d5af7d5833a2fa8e2e489fb48db (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/PWsKY6FJWdRfd5TFoIXE5A/aM7M7KSM1hr4ERrVWhKg7Cba-tj_dhaiiLoKL-0mh6p5DhSVrF6r9PAblMUIdnoJIEct9WAg0zg973HtXzj1G742hqNy4YTWX4_HLG-0YN8iwUD-aXklNOTbTe4i96WHPFQDCfZs0nQ5UPi5-SXV_tIwDm5iFXYXaHI05fpK_zmQ7piiTY1LNl2Z-cyyuWTS/4ArZyiJ168RtBc7M6YJ3U2zuEkr4l8UHspIq_6DgSqE),Food,Cooked,"A special Goron spice covers up the scent of the meat, allowing its flavor to shine.","Goron Spice,Raw Meat",,
Spicy Pepper Steak,40px-BotW_Pepper_Steak_Icon.png?version=f98c8a12fb336b895b93494d142cf6ab (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/6THd3pfu0Am-hyFUYgUFbA/PQjb81IeYj2ReP7ZtS_GqvT-9XKNnc8p6T2tc9ERtBs19EIAx7CFYbiQ97b2J1fY5FF4Qvjzc5_KbETwEmD6ZqwFEzl-9ZzlCUv2GDZ_KB882XumjXLs2ol0ZRZZCzRCIAbPfrgZbM93JfgR95aiUvp_YNkMyginuZEDEsIQ3lYseWULU9v39fCdRnmbWh5l/oOPEY7LAKPzgHk6V4Kkmyb0t6kgCrS_mEeQzhU-dP68),Food,Cooked,"A dish made by cooking meat in crushed peppers, suppressing the gamy taste while accentuating its flavor.","Spicy Pepper,Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Spicy Sautéed Peppers,40px-BotW_Saut%C3%A9ed_Peppers_Icon.png?version=5d7168d323f75d7947c9944f153d2210 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ZgWJswUVB07Tz7mzCAUWmw/FnPWvZ-luVdjSQCBCO7Y0aC5gIcH5GPe3Yo4futsmLvw6ZIKrADyzmcK-nprBHQL6QBn8bUCBOYz_GXeYIL00xtMbvOAhgxKG58o1naMP1dEl3NxWdvVeOsz_OESBok2sivxbaSFNy9SIfCEoSA8b-501UKFhDqP3Ea_FSQnolc8Fgzr3Y8TWEkam12ZjbtF/J0Tgi91e7JqS6yVinO_QDMPvD6N53cQ7VjafKeq7e9g),Food,Cooked,The spiciness of these sautéed peppers has been broken by the heat for a sweeter taste.,Spicy Pepper,,
Steamed Fish,40px-BotW_Steamed_Fish_Icon.png?version=0f90e2566d7d7672e496372a8457d525 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/zg6XxA0yzPx9CG-dkSl-FA/xhvRLqtUXO15kyLBTazrdz-RJIbgmzfvveo7zfQ-K9tXfwB1FZTqn3B7YOSColQ5maQr8UutG7nxDMxa40yfKY83XwkfHcyCohQn4IYingjz_g6aCPrDoHCpeX_I1scr4PG-1azvmkIerJvKjgd2AIZ3KmT-ie6ixfUDieshLBYrYHEPqkfAPWU6ywUSqejb/exVR1gzZ8BdGOimBlVl_WGcgp3_ejQUCE5_dYs_Q7do),Food,Cooked,A refined dish made by wrapping a fresh fish in fragrant wild greens and cooking it.,"Any Vegetable,Any Flower or Herb,Any Seafood",,
Steamed Fruit,40px-BotW_Steamed_Fruit_Icon.png?version=0a87a3712f7d25fb31d8862075732572 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/LCjbkSyF-jQP1zo2gPHn7Q/nxKUH6UPOYd4uI6z2bnG7T7C7Zwdsr2UFTHuinQNyLuVJ8kkMWD7dIPlw5_mpTs1bGmIrw82FyE1ozetNHlGL-iXQJIAQMv2vOPIBMV6WZqZdXXykhEldKTUhrMocLzmE7GezPJWFMcnH0yGGh8W9d0Edxi2_jUGaHL3arT8wO1yBHyFw7fuJ7XJwX6ez5JJ/aqqs_rM_ZKni_dD74SMJkv2PBujtRsAU7vF2L8ZJDNg),Food,Cooked,A regional dish made by steaming near-ripened fruits in the leaves of fragrant plants.,"Any Fruit,Any Vegetable,Any Flower or Herb",,
Steamed Meat,40px-BotW_Steamed_Meat_Icon.png?version=4aafe47755b058a117d8c5871b268299 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/KeO3g0ZbsI4xKIgbe2Mrdw/-rcNnVE_3FBR3HOQDym-Gz76EQWV_9hkM3487gTHtnxHQ4CTsXImoYuq3Vp4KFkevdj8-OgmUuPgyHJujpYIKpWTS4Yq4GUWra4VFQZpHAPMdTC_0zkWZ6uI80TzSKcnlg2kSCsYC0hfh1NxzNpqTi0d01bLiSaJ6-s95v-EYrburekJGGxqlq1EaY5Bpcj2/XMXSLGyq56HMoKzb0_6_KJ8_gTw1tkZHr0yi2wDnoFA),Food,Cooked,This meat dish has been wrapped in fragrant leaves and steamed to preserve its moisture.,"Any Meat,Any Flower or Herb,Any Vegetable (except Pumpkin)",,
